name,rate,type
"360 Atoms Restaurant And Cafe",3.1,Cafes
"CAFE NOVA",3.2,Cafes
"Sea Green Cafe",3.3,Cafes
Cuppa,3.3,Cafes
"Tasty Bytes",3.1,Dining
"Burger King",3.2,Dining
"Parimala Sweets",3.5,Dining
"Krishna Sagar",3.5,Dining
"Dessert Rose",3.5,Dining
"Thanco's Natural Ice Creams",3.2,Dining
"Vi Ra's Bar and Restaurant",3.3,Dining
"Kidambi's Kitchen",3.5,Dining
"Kotian Karavali Restaurant",3.5,Dining
"CAFE NOVA",3.2,Dining
"Cakes & Slices",3.5,Dining
"Spice 9",3.4,Dining
"Coffee Shopee",3.4,Dining
"Naveen Kabab & Biriyani Mane",3.2,Dining
"Katriguppe Donne Biryani",3.2,Dining
"Hari Super Sandwich",3.2,Dining
"Atithi Point Ande Ka Funda",3.1,Dining
"Just Bake",3.4,Dining
"Dharwad Line Bazaar Mishra Pedha",3.4,Dining
"Cake Bite",3.4,Dining
"Aarush's Food Plaza",3.4,Dining
"Wood Stove",3.4,Dining
"Kulfi & More",3.4,Dining
"Kannadigas Karavali",3.4,Dining
"K27 - The Pub",3.1,Dining
"New Mangalore Lunch Home",3.3,Dining
"Coffee Bytes",3.1,Dining
"Parjanya Chat Zone",3.3,Dining
"Ruchi Maayaka",3.3,Dining
"Mohitesh Hut Roll",3.3,Dining
"Sri Basaveshwar Jolada Rotti Oota",3.4,Dining
"Roll Magic Fast Food",3.4,Dining
"Foodlieious Multi Cuisine",3.4,Dining
"Thanishka Nati And Karavali Style",3.1,Dining
"Kaumudis Juoice",3.3,Dining
"Amma - Manae",3.1,Dining
"Sri Sai Tiffannies",3.3,Dining
Darkolates,3.3,Dining
"Swaada Healthy Kitchen",3.3,Dining
"Gawdaru Mane Beriyani",3.3,Dining
"Melting Melodies",3.3,Dining
"New Indraprasta",3.3,Dining
